PRODUCT,VERSION,PLATFORM,SYSTEM-COMPATIBILITY
AfterEffectsCC,16.0,win64,SingleOSrange:{Min:10.0.15063}
MediaEncoderCC,13.0,win64,SingleOSrange:{Min:10.0.15063}
AnimateCCandMobileDevicePackaging,19.0,win64,{Min:6.1.7601}{Max:6.1.7601}{Min:10.0.15063}
AuditionCC,12.0,win64,SingleOSrange:{Min:10.0.15063}
BridgeCC,9.0,win32,{Min:6.1.7601}{Max:6.1.9999}{Min:10.0.10241}SingleOSrange:{Min:6.1.7601}
CharacterAnimatorCC,2.0,win64,SingleOSrange:{Min:10.0.15063}
DreamweaverCC,19.0,win32,{Min:6.1.7601}{Max:6.1.7601}{Min:10.0.15063}
DimensionCC,2.0,win64,SingleOSrange:{Min:10.0.14393}
DataNotaddedforSapCode:SPRK,version:13.0:NotOk
IllustratorCC,23.0,win32,{Min:6.1.7601}{Max:6.2.9199}{Min:6.4.0000}{Max:10.0.10239}{Min:10.0.10241}{Max:10.0.10585}{Min:10.0.10587}{Max:10.0.14392}{Min:10.0.14394}
InDesignCC,14.0,win32,{Min:6.1.7601}{Max:6.2.9199}{Min:6.4.0000}{Max:10.0.10239}{Min:10.0.10241}{Max:10.0.10585}{Min:10.0.10587}{Max:10.0.14392}{Min:10.0.14394}
InCopyCC,14.0,win32,{Min:6.1.7601}{Max:6.2.9199}{Min:6.4.0000}{Max:10.0.10239}{Min:10.0.10241}{Max:10.0.10585}{Min:10.0.10587}{Max:10.0.14392}{Min:10.0.14394}
PhotoshopCC,20.0,win64,{Min:6.1.7601}{Max:10.0.10239}{Min:10.0.10241}
PreludeCC,8.0,win64,SingleOSrange:{Min:10.0.15063}
PremiereProCC,13.0,win64,SingleOSrange:{Min:10.0.15063}
LightroomClassicCC,8.0,win64,{Min:6.1.7601}{Max:6.1.7601}{Min:10.0.15063}
LightroomCC,2.0,win64,SingleOSrange:{Min:10.0.10586}
