Ant Plugin, ,1.8,Ant Plugin, ,1.8
Apache HttpComponents Client 4.x API, ,4.5.5-2.1,Apache HttpComponents Client 4.x API, ,4.5.5-2.1
Authentication Tokens API Plugin, ,1.3,Authentication Tokens API Plugin, ,1.3
Authorize Project, ,1.3.0,Authorize Project, ,1.3.0
Autofavorite for Blue Ocean, ,1.2.2,Autofavorite for Blue Ocean, ,1.2.2
Bitbucket Branch Source, ,2.2.11,Bitbucket Branch Source, ,2.2.11
Bitbucket Pipeline for Blue Ocean,1.5.0,1.6.2,Bitbucket Pipeline for Blue Ocean, ,1.5.0
Blue Ocean,1.5.0,1.6.2,Blue Ocean, ,1.5.0
Blue Ocean Core JS,1.5.0,1.6.2,Blue Ocean Core JS, ,1.5.0
Blue Ocean Pipeline Editor,1.5.0,1.6.2,Blue Ocean Pipeline Editor, ,1.5.0
Branch API Plugin, ,2.0.20,Branch API Plugin, ,2.0.20
Codex Build Trigger Plugin, ,1.0.65,Codex Build Trigger Plugin, ,1.0.65
Command Agent Launcher Plugin, ,1.2,Command Agent Launcher Plugin, ,1.2
Common API for Blue Ocean,1.5.0,1.6.2,Common API for Blue Ocean, ,1.5.0
Conditional BuildStep, ,1.3.6,Conditional BuildStep, ,1.3.6
Config API for Blue Ocean,1.5.0,1.6.2,Config API for Blue Ocean, ,1.5.0
Credentials Binding Plugin, ,1.16,Credentials, ,2.1.16
Credentials Plugin,2.1.16,2.1.18,Credentials Binding Plugin, ,1.16
Cyberark Plugin, ,1.0.93,Cyberark Plugin, ,1.0.93
Dashboard for Blue Ocean,1.5.0,1.6.2,Dashboard for Blue Ocean, ,1.5.0
Design Language,1.5.0,1.6.2,Design Language, ,1.5.0
Display URL API,1,2.2.0,Display URL API,1,2.2.0
Display URL for Blue Ocean, ,2.2.0,Display URL for Blue Ocean, ,2.2.0
Docker Commons Plugin, ,1.13,Docker Commons Plugin, ,1.13
Docker Pipeline, ,1.17,Docker Pipeline, ,1.17
Durable Task, ,1.22,Durable Task, ,1.22
Email Extension Plugin,2.62,2.63,Email Extension, ,2.62
Events API for Blue Ocean,1.5.0,1.6.2,Events API for Blue Ocean, ,1.5.0
External Monitor Job Type Plugin, ,1.7,External Monitor Job Type Plugin, ,1.7
Favorite, ,2.3.2,Favorite, ,2.3.2
Folders, ,6.4,Folders, ,6.4
GIT server Plugin, ,1.7,GIT server Plugin, ,1.7
Git, ,3.9.0,Git, ,3.9.0
Git Pipeline for Blue Ocean,1.5.0,1.6.2,Git Pipeline for Blue Ocean, ,1.5.0
Git client, ,2.7.2,Git client, ,2.7.2
GitHub, ,1.29.0,GitHub, ,1.29.0
GitHub API, ,1.9,GitHub API, ,1.9
GitHub Branch Source, ,2.3.4,GitHub Branch Source, ,2.3.4
GitHub Pipeline for Blue Ocean,1.5.0,1.6.2,GitHub Pipeline for Blue Ocean, ,1.5.0
HTML Publisher plugin, ,1.16,HTML Publisher plugin, ,1.16
Handy Uri Templates 2.x API Plugin, ,2.1.6-1.0,Handy Uri Templates 2.x API Plugin, ,2.1.6-1.0
JDK Tool, ,1,JIRA, ,3.0.0
JIRA, ,3.0.0,JIRA Integration for Blue Ocean, ,1.5.0
JIRA Integration for Blue Ocean,1.5.0,1.6.2,JSch dependency plugin, ,0.1.54.2
